"Date","CL.F.Adjusted"
2018-01-03,61.6300010681152
2018-01-04,62.0099983215332
2018-01-05,61.439998626709
2018-01-08,61.7299995422363
2018-01-09,62.9599990844727
2018-01-10,63.5699996948242
2018-01-11,63.7999992370605
2018-01-12,64.3000030517578
2018-01-16,63.7299995422363
2018-01-17,63.9700012207031
2018-01-18,63.9500007629395
2018-01-19,63.3699989318848
2018-01-22,63.4900016784668
2018-01-23,64.4700012207031
2018-01-24,65.6100006103516
2018-01-25,65.5100021362305
2018-01-26,66.1399993896484
2018-01-29,65.5599975585938
2018-01-30,64.5
2018-01-31,64.7300033569336
2018-02-01,65.8000030517578
2018-02-02,65.4499969482422
2018-02-05,64.1500015258789
2018-02-06,63.3899993896484
2018-02-07,61.7900009155273
2018-02-08,61.1500015258789
2018-02-09,59.2000007629395
2018-02-12,59.2900009155273
2018-02-13,59.189998626709
2018-02-14,60.5999984741211
2018-02-15,61.3400001525879
2018-02-16,61.6800003051758
2018-02-20,61.9000015258789
2018-02-21,61.6800003051758
2018-02-22,62.7700004577637
2018-02-23,63.5499992370605
2018-02-26,63.9099998474121
2018-02-27,63.0099983215332
2018-02-28,61.6399993896484
2018-03-01,60.9900016784668
2018-03-02,61.25
2018-03-05,62.5699996948242
2018-03-06,62.5999984741211
2018-03-07,61.1500015258789
2018-03-08,60.1199989318848
2018-03-09,62.0400009155273
2018-03-12,61.3600006103516
2018-03-13,60.7099990844727
2018-03-14,60.9599990844727
2018-03-15,61.189998626709
2018-03-16,62.3400001525879
2018-03-19,62.060001373291
2018-03-20,63.4000015258789
2018-03-21,65.1699981689453
2018-03-22,64.3000030517578
2018-03-23,65.879997253418
2018-03-26,65.5500030517578
2018-03-27,65.25
2018-03-28,64.379997253418
2018-03-29,64.9400024414062
2018-04-02,63.0099983215332
2018-04-03,63.5099983215332
2018-04-04,63.3699989318848
2018-04-05,63.5400009155273
2018-04-06,62.060001373291
2018-04-09,63.4199981689453
2018-04-10,65.5100021362305
2018-04-11,66.8199996948242
2018-04-12,67.0699996948242
2018-04-13,67.3899993896484
2018-04-16,66.2200012207031
2018-04-17,66.5199966430664
2018-04-18,68.4700012207031
2018-04-19,68.2900009155273
2018-04-20,68.379997253418
2018-04-23,68.6399993896484
2018-04-24,67.6999969482422
2018-04-25,68.0500030517578
2018-04-26,68.1900024414062
2018-04-27,68.0999984741211
2018-04-30,68.5699996948242
2018-05-01,67.25
2018-05-02,67.9300003051758
2018-05-03,68.4300003051758
2018-05-04,69.7200012207031
2018-05-07,70.7300033569336
2018-05-08,69.0599975585938
2018-05-09,71.1399993896484
2018-05-10,71.3600006103516
2018-05-11,70.6999969482422
2018-05-14,70.9599990844727
2018-05-15,71.3099975585938
2018-05-16,71.4899978637695
2018-05-17,71.4899978637695
2018-05-18,71.2799987792969
2018-05-21,72.2399978637695
2018-05-22,72.129997253418
2018-05-23,71.8399963378906
2018-05-24,70.7099990844727
2018-05-25,67.879997253418
2018-05-29,66.7300033569336
2018-05-30,68.2099990844727
2018-05-31,67.0400009155273
2018-06-01,65.8099975585938
2018-06-04,64.75
2018-06-05,65.5199966430664
2018-06-06,64.7300033569336
2018-06-07,65.9499969482422
2018-06-08,65.7399978637695
2018-06-11,66.0999984741211
2018-06-12,66.3600006103516
2018-06-13,66.6399993896484
2018-06-14,66.8899993896484
2018-06-15,65.0599975585938
2018-06-18,65.8499984741211
2018-06-19,65.0699996948242
2018-06-20,66.2200012207031
2018-06-21,65.5400009155273
2018-06-22,68.5800018310547
2018-06-25,68.0800018310547
