"Date","USDBRL.X.Adjusted"
2018-01-02,3.31100010871887
2018-01-03,3.25780010223389
2018-01-04,3.23550009727478
2018-01-05,3.23309993743896
2018-01-08,3.22659993171692
2018-01-09,3.23900008201599
2018-01-10,3.2467999458313
2018-01-11,3.22639989852905
2018-01-12,3.21420001983643
2018-01-15,3.20070004463196
2018-01-16,3.21320009231567
2018-01-17,3.22270011901855
2018-01-18,3.2221999168396
2018-01-19,3.20510005950928
2018-01-22,3.19470000267029
2018-01-23,3.20070004463196
2018-01-24,3.23550009727478
2018-01-25,3.14510011672974
2018-01-26,3.14689993858337
2018-01-29,3.15100002288818
2018-01-30,3.15359997749329
2018-01-31,3.17950010299683
2018-02-01,3.18470001220703
2018-02-02,3.16370010375977
2018-02-05,3.21539998054504
2018-02-06,3.26110005378723
2018-02-07,3.23340010643005
2018-02-08,3.26990008354187
2018-02-09,3.28460001945496
2018-02-14,3.29419994354248
2018-02-15,3.21620011329651
2018-02-16,3.22639989852905
2018-02-19,3.22819995880127
2018-02-20,3.23309993743896
2018-02-21,3.25430011749268
2018-02-22,3.26760005950928
2018-02-23,3.24869990348816
2018-02-26,3.23720002174377
2018-02-27,3.22250008583069
2018-02-28,3.24850010871887
2018-03-01,3.2448000907898
2018-03-02,3.25
2018-03-05,3.24959993362427
2018-03-06,3.2409999370575
2018-03-07,3.20799994468689
2018-03-08,3.24289989471436
2018-03-09,3.26609992980957
2018-03-12,3.25609993934631
2018-03-13,3.26029992103577
2018-03-14,3.25869989395142
2018-03-15,3.25850009918213
2018-03-16,3.2820999622345
2018-03-19,3.28010010719299
2018-03-20,3.28410005569458
2018-03-21,3.30870008468628
2018-03-22,3.27270007133484
2018-03-23,3.31410002708435
2018-03-26,3.31030011177063
2018-03-27,3.32290005683899
2018-03-28,3.31929993629456
2018-03-29,3.3034999370575
2018-04-02,3.30940008163452
2018-04-03,3.33940005302429
2018-04-04,3.32769989967346
2018-04-05,3.34159994125366
2018-04-06,3.34159994125366
2018-04-09,3.4210000038147
2018-04-10,3.40729999542236
2018-04-11,3.37310004234314
2018-04-12,3.41100001335144
2018-04-13,3.41100001335144
2018-04-16,3.416100025177
2018-04-17,3.40580010414124
2018-04-18,3.37709999084473
2018-04-19,3.38269996643066
2018-04-20,3.38269996643066
2018-04-23,3.44889998435974
2018-04-24,3.47149991989136
2018-04-25,3.4809000492096
2018-04-26,3.47420001029968
2018-04-27,3.47420001029968
2018-04-30,3.5058000087738
2018-05-02,3.54959988594055
2018-05-03,3.5265998840332
2018-05-04,3.5265998840332
2018-05-07,3.5492000579834
2018-05-08,3.5618999004364
2018-05-09,3.5903000831604
2018-05-10,3.54949998855591
2018-05-11,3.54949998855591
2018-05-14,3.62159991264343
2018-05-15,3.64869999885559
2018-05-16,3.67440009117126
2018-05-17,3.69510006904602
2018-05-18,3.69510006904602
2018-05-21,3.67569994926453
2018-05-22,3.64599990844727
2018-05-23,3.6256000995636
2018-05-24,3.64809989929199
2018-05-25,3.64809989929199
2018-05-28,3.73420000076294
2018-05-29,3.72410011291504
2018-05-30,3.72210001945496
2018-06-01,3.72210001945496
2018-06-04,3.74449992179871
2018-06-05,3.80430006980896
2018-06-06,3.84340000152588
2018-06-07,3.90070009231567
2018-06-08,3.90070009231567
2018-06-11,3.70880007743835
2018-06-12,3.71499991416931
2018-06-13,3.71880006790161
2018-06-14,3.80399990081787
2018-06-15,3.80399990081787
2018-06-18,3.74620008468628
2018-06-19,3.74499988555908
2018-06-20,3.7690999507904
2018-06-21,3.76510000228882
2018-06-22,3.76510000228882
2018-06-25,3.77509999275208
2018-06-26,3.79579997062683
2018-06-27,3.86010003089905
2018-06-28,3.85949993133545
2018-06-29,3.85949993133545
2018-07-02,3.91260004043579
2018-07-03,3.89630007743835
2018-07-04,3.91100001335144
2018-07-05,3.93129992485046
2018-07-06,3.93129992485046
2018-07-10,3.8150999546051
2018-07-11,3.87610006332397
2018-07-12,3.88070011138916
2018-07-13,3.88070011138916
2018-07-16,3.85599994659424
2018-07-17,3.83590006828308
2018-07-18,3.84920001029968
2018-07-19,3.82850003242493
2018-07-20,3.82850003242493
2018-07-23,3.7804000377655
2018-07-24,3.74609994888306
2018-07-25,3.68639993667603
2018-07-26,3.74429988861084
2018-07-27,3.74429988861084
2018-07-30,3.72810006141663
2018-07-31,3.75300002098083
2018-08-01,3.74699997901917
2018-08-02,3.74839997291565
2018-08-03,3.74839997291565
2018-08-06,3.73449993133545
2018-08-07,3.75049996376038
2018-08-08,3.77010011672974
2018-08-09,3.79959988594055
2018-08-10,3.79959988594055
2018-08-13,3.88199996948242
2018-08-14,3.86439990997314
2018-08-15,3.90059995651245
2018-08-16,3.9038999080658
2018-08-17,3.9038999080658
2018-08-20,3.96600008010864
2018-08-21,4.04850006103516
2018-08-22,4.03690004348755
2018-08-23,4.11229991912842
2018-08-24,4.11229991912842
2018-08-27,4.0774998664856
2018-08-28,4.13390016555786
2018-08-29,4.10550022125244
2018-08-30,4.14860010147095
2018-08-31,4.14860010147095
2018-09-03,4.1547999382019
2018-09-04,4.15369987487793
2018-09-05,4.14309978485107
2018-09-06,4.0573000907898
2018-09-10,4.08459997177124
2018-09-11,4.1515998840332
2018-09-12,4.15980005264282
2018-09-13,4.20499992370605
2018-09-14,4.20499992370605
2018-09-17,4.13210010528564
2018-09-18,4.15840005874634
2018-09-19,4.13030004501343
2018-09-20,4.07600021362305
2018-09-21,4.07600021362305
2018-09-24,4.09130001068115
2018-09-25,4.07359981536865
2018-09-26,4.03079986572266
