"Date","Prices.USD."
2021-02-02,0.0204264218512275
2021-02-03,0.00687964921003931
2021-02-04,-0.00677057527098129
2021-02-05,0.019245966178522
2021-02-08,0.000204141773602898
2021-02-09,0.00530157940442616
2021-02-10,-0.00264418180620912
2021-02-11,0.000477633290933702
2021-02-12,0.00475585828743447
2021-02-15,-1.54875021507984e-05
2021-02-16,0.00954077174596008
2021-02-17,-0.00314061516743785
2021-02-18,-0.014836437989225
2021-02-19,0.0026663756979774
2021-02-22,-0.0543689553350786
2021-02-23,0.0261230516445147
2021-02-24,0.00691006714795978
2021-02-25,-0.0461854394194752
2021-02-26,-0.0197230709735255
2021-03-01,0.00961073812273056
2021-03-02,0.0118278499409589
2021-03-03,-0.00233023605147125
2021-03-04,-0.0100286157227892
2021-03-05,0.0114058403619863
2021-03-08,-0.0389768890249263
2021-03-09,0.0145108797088726
2021-03-10,0.0287253243317657
2021-03-11,0.0330427680886533
2021-03-12,-0.0132253790211843
2021-03-15,-0.00560837752050497
2021-03-16,-0.00526960368364887
2021-03-17,0.0138447541989459
2021-03-18,-0.012299124321811
2021-03-19,0.00979756296030948
2021-03-22,-0.00718936862501512
2021-03-23,-0.0227702400300387
2021-03-24,-0.0151054120209471
2021-03-25,0.00526281324840489
2021-03-26,0.00571426346925747
2021-03-29,-0.00114096145537418
2021-03-30,0.0108183850665251
2021-03-31,0.00956736992609581
2021-04-01,-0.00955348761515112
2021-04-05,0.0209235312074496
2021-04-06,0.00652939785410495
2021-04-07,-0.0038163143642807
2021-04-08,0.0161806056940554
2021-04-09,-0.0172196227568973
2021-04-12,-0.00393609772456465
2021-04-13,0.00405642899569009
2021-04-14,0.0176853822163984
2021-04-15,0.00796680792673693
2021-04-16,0.00620945229700015
2021-04-19,-0.00191197787423008
2021-04-20,-0.0102817137070861
2021-04-21,0.00358435653860062
2021-04-22,0.00241734017387535
2021-04-23,0.00342164583970312
2021-04-26,0.0077936520181689
2021-04-27,-0.00830925277514166
2021-04-28,0.0185244324008249
2021-04-29,-0.00933611596403222
2021-04-30,-0.0285773719122611
2021-05-03,0.00599608099657373
2021-05-04,-0.00937484920477499
2021-05-05,0.0186224093119007
2021-05-06,0.0202872904230029
2021-05-07,0.0218388262651354
2021-05-10,0.00603292794032501
2021-05-11,0.0037546161853001
2021-05-12,-0.0336912694040466
2021-05-13,0.00401113795619174
2021-05-14,0.0199581277819558
2021-05-17,-0.000198924885854098
2021-05-18,0.00311563838005941
2021-05-19,-0.0175342122393055
2021-05-20,0.00693206328853186
2021-05-21,-0.0101053478674221
2021-05-24,0.00376870144265701
2021-05-25,-0.014099538642723
2021-05-26,0.0139549226422037
2021-05-27,0.0128807115805742
2021-05-28,0.0205534753403828
2021-05-31,0.00453562387960921
2021-06-01,0.0207331345511658
2021-06-02,0.0208018473118809
2021-06-03,-0.00904098509967782
2021-06-04,0.0141666141507912
2021-06-07,0.00360920751399013
2021-06-08,-0.00576998409505585
2021-06-09,-0.00460515774942999
2021-06-10,0.000160079267375216
2021-06-11,-0.00435408224632888
2021-06-14,0.00596802024893711
2021-06-15,-0.00105463247400089
2021-06-16,-0.012306711465066
2021-06-17,-0.00843166573770909
2021-06-18,-0.0044737303855083
2021-06-21,0.0129269700378558
2021-06-22,0.0067765314804486
2021-06-23,0.00334139770466563
2021-06-24,0.0170035257463709
2021-06-25,-0.0148133404069693
2021-06-28,-0.00137278765491083
2021-06-29,0.000188667112822564
2021-06-30,-0.00724724151019701
2021-07-01,-0.0180347070428002
2021-07-02,0.0119024499425492
2021-07-05,-0.00250404967387824
2021-07-06,-0.0359629374261175
2021-07-07,0.00354752367180494
2021-07-08,-0.0152004179420001
2021-07-09,0.0128732049275612
2021-07-12,0.0111679788450758
2021-07-13,-0.00396614698011249
2021-07-14,0.0110804647240982
2021-07-15,-0.00653745052544146
2021-07-16,-0.010555918781235
2021-07-19,-0.0317725687950697
2021-07-20,0.0125787631933633
2021-07-21,0.0162968700198826
2021-07-22,-0.00266753033738426
2021-07-23,-0.00521498089983546
2021-07-26,0.013669567440304
2021-07-27,-0.00684249910079765
2021-07-28,0.0228081364649483
2021-07-29,0.00665513383737099
2021-07-30,-0.045892757224302
2021-08-02,0.0047510013950502
2021-08-03,0.00966780296566422
2021-08-04,-0.0135317795029389
2021-08-05,0.00161690701060663
2021-08-06,0.000882446057190292
2021-08-09,-0.00300251584307692
2021-08-10,0.00600208091419247
2021-08-11,0.00379406371811991
2021-08-12,-0.0128561879372924
2021-08-13,0.00634498405670775
2021-08-16,-0.0187650348484015
2021-08-17,-0.0121920481854019
2021-08-18,-0.017816808016282
2021-08-19,-0.0172263948622707
2021-08-20,0.00503748350665506
2021-08-23,0.00631446739206004
2021-08-24,0.0298827359099205
2021-08-25,0.00955307324513316
2021-08-26,-0.0192548903098755
2021-08-27,0.0242368996595463
2021-08-30,-0.00367195569496364
2021-08-31,0.000447661901347544
2021-09-01,-0.00401403322805721
2021-09-02,-0.0156698760152334
2021-09-03,-0.0020886911828038
2021-09-06,0.0056105133876036
2021-09-07,-0.00446680872823873
2021-09-08,-0.0442372035089507
2021-09-09,0.01493875968173
2021-09-10,-0.00233541200191994
2021-09-13,0.0125017342561968
2021-09-14,-0.00800503728578921
2021-09-15,0.000395681080652636
2021-09-16,-0.0122354815388304
2021-09-17,-0.0213368797603664
2021-09-20,-0.0294181020220606
2021-09-21,0.0116213942793266
2021-09-22,0.0183141383416594
2021-09-23,-0.00359447738941815
2021-09-24,-0.0138238566078693
2021-09-27,0.00351598491950894
