"Date","DCCrho"
2021-07-29,-0.278878815628415
2021-08-02,-0.30872244383701
2021-08-03,-0.412483679112087
2021-08-04,-0.404408032424223
2021-08-05,-0.38611315614197
2021-08-09,-0.335404045175536
2021-08-10,-0.33633438252086
2021-08-11,-0.332218609672997
2021-08-12,-0.301099756436768
2021-08-16,-0.25864800367099
2021-08-17,-0.195846956587227
2021-08-18,-0.246428266585904
2021-08-19,-0.193827941486834
2021-08-23,-0.209811807599643
2021-08-24,-0.260659025525325
2021-08-25,-0.201742665829278
2021-08-26,-0.233782826047446
2021-08-30,-0.259560869231857
2021-08-31,-0.298375463767921
2021-09-01,-0.282209419036804
2021-09-02,-0.294490911069975
2021-09-06,-0.290195111238811
2021-09-08,-0.303617321299427
2021-09-09,-0.436612200272461
2021-09-13,-0.443856686140475
2021-09-14,-0.428075792168557
2021-09-15,-0.406245022474459
2021-09-16,-0.386078947157957
2021-09-20,-0.380516524176238
2021-09-21,-0.438436369755953
2021-09-22,-0.448341220520625
2021-09-23,-0.409850746210755
2021-09-27,-0.399259154224189
2021-09-28,-0.430739134567649
2021-09-29,-0.434273539528885
2021-09-30,-0.421043419691117
2021-10-04,-0.389529348635507
2021-10-05,-0.382297661086536
2021-10-06,-0.389760633961816
2021-10-07,-0.351876551504814
2021-10-11,-0.331964345982109
2021-10-13,-0.296347152224189
2021-10-14,-0.318290424151879
2021-10-18,-0.320851696739742
2021-10-19,-0.289306805611388
2021-10-20,-0.336301105313337
2021-10-21,-0.337491555489759
2021-10-25,-0.454037299531954
2021-10-26,-0.27834362223407
2021-10-27,-0.288652264478545
2021-10-28,-0.309211215033544
2021-11-01,-0.23365929371695
2021-11-03,-0.25304569997529
2021-11-04,-0.25168931618602
2021-11-05,-0.106396467342417
2021-11-08,-0.149682392566071
2021-11-09,-0.205562416416471
2021-11-10,-0.226193085596096
2021-11-11,-0.225614208592323
2021-11-12,-0.221397990049088
2021-11-16,-0.213733596472483
2021-11-17,-0.209161948128434
2021-11-18,-0.215750811583409
2021-11-19,-0.245060555845744
2021-11-22,-0.239666790549929
2021-11-23,-0.270603121120795
2021-11-24,-0.298435991397027
2021-11-25,-0.305684398331285
2021-11-26,-0.202089367406005
2021-11-29,-0.157892558013036
2021-11-30,-0.186165245411803
2021-12-01,-0.216195994858329
2021-12-02,-0.263626797758667
2021-12-03,-0.318058774407286
2021-12-06,-0.3251912523226
2021-12-07,-0.329782053928995
2021-12-08,-0.337630092268069
2021-12-09,-0.342615623141864
2021-12-10,-0.318359083189442
2021-12-13,-0.305813584112988
2021-12-14,-0.239018887140741
2021-12-15,-0.347779981708238
2021-12-16,-0.334463653834896
2021-12-17,-0.330357265878414
2021-12-20,-0.332998961587823
2021-12-21,-0.335963018432073
2021-12-22,-0.370349854889737
2021-12-23,-0.364977848946339
2021-12-27,-0.334854336379055
2021-12-28,-0.326071973053212
2021-12-29,-0.297242932645508
2021-12-30,-0.305662703425955
2022-01-03,-0.152290802149309
2022-01-04,0.0240014632562158
2022-01-05,-0.204170936465916
2022-01-06,-0.202853766013721
2022-01-07,-0.181212377082682
2022-01-10,-0.218373816161885
2022-01-11,-0.218325469958024
2022-01-12,-0.259820407281739
2022-01-13,-0.234667316810986
2022-01-14,-0.247716951086402
2022-01-17,-0.263543867655197
2022-01-18,-0.277625367560478
2022-01-19,-0.278246591908581
2022-01-20,-0.308747889820362
2022-01-21,-0.469841244326324
2022-01-24,-0.452083786468511
2022-01-25,-0.44984957809375
2022-01-26,-0.430311305721391
2022-01-27,-0.439820846456056
2022-01-28,-0.411555804512133
2022-01-31,-0.390329809437326
2022-02-01,-0.387000326849488
2022-02-02,-0.458791415641015
2022-02-03,-0.462731123662558
2022-02-04,-0.442379437375958
2022-02-07,-0.405789082047237
2022-02-08,-0.312636983058614
2022-02-09,-0.272301151754984
2022-02-10,-0.282932796338083
2022-02-11,-0.291282763621425
2022-02-14,-0.309505741461754
2022-02-15,-0.314157842620363
2022-02-16,-0.330131772253392
2022-02-17,-0.370781192520333
2022-02-18,-0.34799928912587
2022-02-21,-0.374040690724381
2022-02-22,-0.281442300873387
2022-02-23,-0.287145454080426
2022-02-24,-0.302286908058583
2022-02-25,-0.280942970013067
2022-03-02,0.081583197366838
2022-03-03,-0.0461566139219758
2022-03-04,-0.0815623672382943
2022-03-07,-0.0771054758892883
2022-03-08,-0.131298029796933
2022-03-09,-0.172534844372212
2022-03-10,-0.245406636197594
2022-03-11,-0.209815184022308
2022-03-14,-0.198211595990046
2022-03-15,-0.185772285840759
2022-03-16,-0.186597661434508
2022-03-17,-0.151302531156601
2022-03-18,-0.176286338059539
2022-03-21,-0.227682056366125
2022-03-22,-0.254163089360685
2022-03-23,-0.297189378825071
2022-03-24,-0.313713755899983
2022-03-25,-0.381109410894893
2022-03-28,-0.373926100179057
2022-03-29,-0.396685744234602
2022-03-30,-0.379414714238848
2022-03-31,-0.376795389608981
2022-04-04,-0.321710024380432
2022-04-05,-0.563670539943295
2022-04-06,-0.552688376212024
2022-04-07,-0.536340465322328
2022-04-11,-0.508359584821486
2022-04-12,-0.491926440163958
2022-04-13,-0.458747121491893
2022-04-14,-0.373264982955375
2022-04-18,-0.369764500408278
2022-04-19,-0.333926385807403
2022-04-20,-0.300168422645271
2022-04-25,-0.299871810870606
2022-04-26,-0.0852274317870565
2022-04-27,-0.0950816216666084
2022-04-28,-0.144755610117898
2022-05-02,-0.180162046251807
2022-05-03,-0.32559223528318
2022-05-04,-0.317843832698826
2022-05-05,-0.330470417027856
2022-05-09,-0.3897662202073
