"Date","DCCrho"
2021-07-29,-0.147652959728842
2021-08-02,-0.168978765748481
2021-08-03,-0.244887976976622
2021-08-04,-0.243935826116945
2021-08-05,-0.230688256945337
2021-08-09,-0.197701302798911
2021-08-10,-0.196892361203153
2021-08-11,-0.196655322416507
2021-08-12,-0.171710156587468
2021-08-16,-0.142443897761572
2021-08-17,-0.126766069297533
2021-08-18,-0.163937236813783
2021-08-19,-0.119265428512162
2021-08-23,-0.130799827799687
2021-08-24,-0.171092703693589
2021-08-25,-0.140785990405716
2021-08-26,-0.156225554761971
2021-08-30,-0.164426339662551
2021-08-31,-0.172653004641282
2021-09-01,-0.158850271604937
2021-09-02,-0.167168665760984
2021-09-06,-0.165327861798563
2021-09-08,-0.172911091076942
2021-09-09,-0.248946584540394
2021-09-13,-0.248438304877016
2021-09-14,-0.236137755822784
2021-09-15,-0.224206015784251
2021-09-16,-0.214556185325114
2021-09-20,-0.212320318495725
2021-09-21,-0.279535257583338
2021-09-22,-0.284641957583476
2021-09-23,-0.252105970643032
2021-09-27,-0.241865092854988
2021-09-28,-0.239955460247073
2021-09-29,-0.249269138330142
2021-09-30,-0.240414266210183
2021-10-04,-0.218008108532361
2021-10-05,-0.212989718445227
2021-10-06,-0.220772650767722
2021-10-07,-0.197049366794344
2021-10-11,-0.184166437088215
2021-10-13,-0.161416808704964
2021-10-14,-0.179090700239659
2021-10-18,-0.179736305886358
2021-10-19,-0.166762608081231
2021-10-20,-0.202481644136998
2021-10-21,-0.201372670336279
2021-10-25,-0.291572686451756
2021-10-26,-0.124271060093538
2021-10-27,-0.138394806567845
2021-10-28,-0.154635893131524
2021-11-01,-0.0737633877623742
2021-11-03,-0.095319367962119
2021-11-04,-0.0914701274191632
2021-11-05,0.011036245737197
2021-11-08,-0.0250178254196983
2021-11-09,-0.0617624625603003
2021-11-10,-0.0823284703619666
2021-11-11,-0.0898901454234633
2021-11-12,-0.0945518899644325
2021-11-16,-0.081795296003832
2021-11-17,-0.0818515966390502
2021-11-18,-0.0863381892524539
2021-11-19,-0.110887686475063
2021-11-22,-0.110866070235197
2021-11-23,-0.128962599191783
2021-11-24,-0.14720006627991
2021-11-25,-0.163330266641825
