"Date","DCCrho"
2021-07-29,-0.149940204760619
2021-08-02,-0.169364158268628
2021-08-03,-0.238922143802808
2021-08-04,-0.238582579226264
2021-08-05,-0.226411470140046
2021-08-09,-0.19558319146985
2021-08-10,-0.194850058818904
2021-08-11,-0.194538850152727
2021-08-12,-0.171985374651897
2021-08-16,-0.145417318457406
2021-08-17,-0.130386690371869
2021-08-18,-0.167006504373956
2021-08-19,-0.121158876730355
2021-08-23,-0.132385503227096
2021-08-24,-0.171816448450553
2021-08-25,-0.141915692840177
2021-08-26,-0.156910167098196
2021-08-30,-0.164875023476803
2021-08-31,-0.172786550281968
2021-09-01,-0.159178143081455
2021-09-02,-0.167129079159142
2021-09-06,-0.165229955161425
2021-09-08,-0.172461121772679
2021-09-09,-0.246109948616708
2021-09-13,-0.245914377090492
2021-09-14,-0.233952700795325
2021-09-15,-0.222419937574103
2021-09-16,-0.213066941554141
2021-09-20,-0.210798944418063
2021-09-21,-0.27494945082367
2021-09-22,-0.280426242475068
2021-09-23,-0.248719753347323
2021-09-27,-0.238931856957141
2021-09-28,-0.237636595276359
2021-09-29,-0.246537637214205
2021-09-30,-0.237971906687479
2021-10-04,-0.216344818681774
2021-10-05,-0.21145336936713
2021-10-06,-0.218768285442764
2021-10-07,-0.196053267490385
2021-10-11,-0.183675060656404
2021-10-13,-0.162061201808627
2021-10-14,-0.178627336912008
2021-10-18,-0.17918440522497
2021-10-19,-0.166890796989672
2021-10-20,-0.201624453126135
2021-10-21,-0.200466959898458
2021-10-25,-0.286732492359385
2021-10-26,-0.125332283731069
2021-10-27,-0.138920804569248
2021-10-28,-0.154790551777511
2021-11-01,-0.0759603661721304
2021-11-03,-0.0967901556091685
2021-11-04,-0.0932377088134195
2021-11-05,0.00627796140895774
2021-11-08,-0.0285507067297577
2021-11-09,-0.0641188712458514
2021-11-10,-0.0839989143275535
2021-11-11,-0.0913774401722254
2021-11-12,-0.0960477703500615
2021-11-16,-0.0839172548692897
2021-11-17,-0.08428388357387
2021-11-18,-0.0887546920274136
2021-11-19,-0.112188871379902
2021-11-22,-0.112456392055917
2021-11-23,-0.129657338651875
2021-11-24,-0.14695063573645
2021-11-25,-0.162412560379146
2021-11-26,-0.11179951791512
2021-11-29,-0.0867410079949887
2021-11-30,-0.101069818023322
2021-12-01,-0.118045486093939
2021-12-02,-0.151548877298245
2021-12-03,-0.173161715696739
2021-12-06,-0.176283557732334
2021-12-07,-0.180023591909176
2021-12-08,-0.17510510147212
2021-12-09,-0.181359413109082
2021-12-10,-0.15778109372181
2021-12-13,-0.14712956917255
2021-12-14,-0.114672354267566
2021-12-15,-0.183546191450417
2021-12-16,-0.179529356615087
2021-12-17,-0.178591265104194
2021-12-20,-0.181308744716512
2021-12-21,-0.182716012673506
2021-12-22,-0.207834627925306
2021-12-23,-0.203259303739533
2021-12-27,-0.177216511737863
2021-12-28,-0.172146947457137
2021-12-29,-0.159513890784895
2021-12-30,-0.164444394578787
2022-01-03,-0.0734274145977769
2022-01-04,0.0632144070019763
2022-01-05,-0.0706342602250621
2022-01-06,-0.0806806554345901
2022-01-07,-0.0741395882159319
2022-01-10,-0.104789349536429
2022-01-11,-0.109944182515464
2022-01-12,-0.134778293269099
2022-01-13,-0.100647937769517
2022-01-14,-0.106435277923341
2022-01-17,-0.121364025550754
2022-01-18,-0.134533360141183
2022-01-19,-0.137360709430215
2022-01-20,-0.151887684519948
2022-01-21,-0.245932240730928
2022-01-24,-0.238258332191738
2022-01-25,-0.24120659263024
2022-01-26,-0.227479565709136
2022-01-27,-0.233597087755546
2022-01-28,-0.216946376623538
2022-01-31,-0.207230761909899
2022-02-01,-0.206068522513989
2022-02-02,-0.27779904747918
2022-02-03,-0.283788981696566
2022-02-04,-0.266770245217995
2022-02-07,-0.238299024366327
2022-02-08,-0.189331468919281
2022-02-09,-0.139633295199013
2022-02-10,-0.14801979039017
2022-02-11,-0.151474250464745
2022-02-14,-0.169139679466985
2022-02-15,-0.171885607000735
2022-02-16,-0.176220443654389
2022-02-17,-0.197310120354649
2022-02-18,-0.189588609334716
2022-02-21,-0.202969299582988
2022-02-22,-0.146739552380869
2022-02-23,-0.143777979650764
2022-02-24,-0.15088007650718
2022-02-25,-0.138007107460558
2022-03-02,0.126353445155473
2022-03-03,0.0400476133548391
2022-03-04,0.0200651652921296
2022-03-07,0.016630731590319
2022-03-08,-0.0293216783652762
2022-03-09,-0.0469347463569797
2022-03-10,-0.0946267889803061
2022-03-11,-0.0793353007781872
2022-03-14,-0.0887108055075036
2022-03-15,-0.0737161943319005
2022-03-16,-0.0783671352540285
2022-03-17,-0.0564230532559939
2022-03-18,-0.0799114024948811
2022-03-21,-0.112331526696134
2022-03-22,-0.129446912226386
2022-03-23,-0.135643505654143
2022-03-24,-0.149353642525014
2022-03-25,-0.180020255374046
2022-03-28,-0.180695174498017
2022-03-29,-0.192839300648382
2022-03-30,-0.191914110352912
2022-03-31,-0.195968383602037
2022-04-04,-0.164390760263044
2022-04-05,-0.326668363632025
2022-04-06,-0.332086170975644
2022-04-07,-0.317517321789651
2022-04-11,-0.291536689623127
2022-04-12,-0.264852722651477
2022-04-13,-0.248625764683691
2022-04-14,-0.195628860275421
2022-04-18,-0.195027850673216
2022-04-19,-0.168057538642142
2022-04-20,-0.150629292715438
2022-04-25,-0.139466347911961
2022-04-26,0.0991750607756652
2022-04-27,0.0896338485068351
2022-04-28,0.0348831858586477
2022-05-02,-0.00813766906878594
2022-05-03,-0.114645083735379
2022-05-04,-0.101100773534879
2022-05-05,-0.121067350392373
2022-05-09,-0.180729441065802
2022-05-10,-0.182383730709767
2022-05-11,-0.189511209367762
2022-05-12,-0.179991975686539
2022-05-16,-0.173487977801333
2022-05-17,-0.15728998229386
2022-05-18,-0.195077957100785
2022-05-19,-0.196310646130011
2022-05-23,-0.208044017315391
2022-05-24,-0.291501323344141
2022-05-25,-0.274105038477349
2022-05-26,-0.249454889394061
2022-05-30,-0.261569847828037
2022-05-31,-0.250112588284847
2022-06-01,-0.237672702235021
2022-06-02,-0.209224195419513
2022-06-06,-0.21061036156697
2022-06-07,-0.20494136527675
2022-06-08,-0.196392417244311
2022-06-09,-0.194530059492802
2022-06-13,-0.190975660037147
2022-06-14,-0.357460739319322
2022-06-15,-0.327786639018003
2022-06-20,-0.326737085921127
2022-06-21,-0.339308479753095
2022-06-22,-0.331633465392579
2022-06-23,-0.259723187401545
2022-06-27,-0.215718977700327
2022-06-28,-0.209525572019437
2022-06-29,-0.210717062033724
2022-06-30,-0.139432558524524
2022-07-04,-0.234009365155617
2022-07-05,-0.231661532519441
2022-07-06,-0.200119236394308
2022-07-07,-0.193410595517005
2022-07-11,-0.175612832016743
2022-07-12,-0.180063487204926
2022-07-13,-0.202648593813598
2022-07-14,-0.207920712738925
2022-07-18,-0.21919764052581
2022-07-19,-0.217295011977492
2022-07-20,-0.217159326025473
2022-07-21,-0.195543720333146
2022-07-25,-0.182005963838009
2022-07-26,-0.195013806945274
2022-07-27,-0.19339442978169
2022-07-28,-0.223877990028527
2022-08-01,-0.23068560697251
2022-08-02,-0.218742639123436
2022-08-03,-0.237358234775621
2022-08-04,-0.225769721450468
2022-08-08,-0.262583562825237
2022-08-09,-0.271515585402554
2022-08-10,-0.258492428092576
2022-08-11,-0.245523231794245
2022-08-15,-0.242318258308377
2022-08-16,-0.259754366757957
2022-08-17,-0.23757670631987
2022-08-18,-0.221853871081468
2022-08-22,-0.213816535814936
2022-08-23,-0.198631710322169
2022-08-24,-0.217502692986179
2022-08-25,-0.205589937664818
2022-08-29,-0.201388646080228
2022-08-30,-0.134657345154957
2022-08-31,-0.157459963677052
2022-09-01,-0.161625028042787
2022-09-05,-0.163596103791147
2022-09-06,-0.195853809284818
2022-09-08,-0.246520325319064
2022-09-12,-0.248989683769986
2022-09-13,-0.218684429367624
2022-09-14,-0.23424154249711
2022-09-15,-0.232428934809635
2022-09-19,-0.223812431381919
2022-09-20,-0.235037929415743
2022-09-21,-0.207540988711582
2022-09-22,-0.197566170068522
2022-09-26,-0.193356868172181
2022-09-27,-0.362218468821166
2022-09-28,-0.331982433058645
2022-09-29,-0.308334112780827
2022-10-03,-0.290605112575361
2022-10-04,-0.325280751180531
2022-10-05,-0.289951866407891
2022-10-06,-0.263766825663652
2022-10-10,-0.249068396200825
2022-10-11,-0.216779420709686
2022-10-13,-0.219082969039098
2022-10-17,-0.197861518275351
2022-10-18,-0.198916818132055
2022-10-19,-0.168894489039177
2022-10-20,-0.168913653506505
2022-10-24,-0.156439764523586
2022-10-25,-0.171117086933692
2022-10-26,-0.175109261821078
2022-10-27,-0.241426112483865
2022-10-31,-0.252603488220645
2022-11-01,-0.232826088711384
2022-11-03,-0.212509865766753
2022-11-04,-0.210015744758006
2022-11-07,-0.216614766131502
2022-11-08,-0.180805685862988
2022-11-09,-0.17086561944248
2022-11-10,-0.164479846605984
2022-11-11,-0.18943567196206
2022-11-14,-0.262558484229763
2022-11-16,-0.228876152380516
2022-11-17,-0.24776944672789
2022-11-18,-0.229298921440268
2022-11-21,-0.22834677484288
2022-11-22,-0.238923328551115
2022-11-23,-0.202583064281304
2022-11-24,-0.192690726881357
2022-11-25,-0.187360948996915
2022-11-28,-0.154525763441496
2022-11-29,-0.13064661828317
2022-11-30,-0.172157923285356
2022-12-01,-0.165538742036895
2022-12-02,-0.216827579140374
2022-12-05,-0.171100317712545
2022-12-06,-0.189911306286985
2022-12-07,-0.187365875039684
2022-12-08,-0.208785236111527
2022-12-09,-0.168001082508458
2022-12-12,-0.175962135555889
2022-12-13,-0.175555498354357
2022-12-14,-0.223516794328793
2022-12-15,-0.223775836974825
2022-12-16,-0.208335852772675
2022-12-19,-0.203984744023461
2022-12-20,-0.201023011213008
2022-12-21,-0.206122357801395
2022-12-22,-0.208655789642435
2022-12-23,-0.202972902094027
2022-12-26,-0.22409395216981
2022-12-27,-0.216860639004614
2022-12-28,-0.210253255902405
2022-12-29,-0.189629978584468
2023-01-02,-0.157404947329687
2023-01-03,-0.176286703540221
2023-01-04,-0.235192520433675
2023-01-05,-0.20399332553153
2023-01-06,-0.186172660475715
2023-01-09,-0.191110453611615
2023-01-10,-0.17651896432059
2023-01-11,-0.147338958500934
2023-01-12,-0.129630156769745
2023-01-13,-0.120100459675817
2023-01-16,-0.132056071686578
2023-01-17,-0.128335393838195
2023-01-18,-0.167898169535926
2023-01-19,-0.137249670951704
2023-01-20,-0.0632559467556695
2023-01-23,-0.0716586985552974
2023-01-24,-0.0959815334762394
2023-01-25,-0.111698473338336
2023-01-26,-0.0103831008487065
2023-01-27,-0.0982243055811894
2023-01-30,-0.111553876435963
2023-01-31,-0.140904594373407
2023-02-01,-0.131785914902996
2023-02-02,-0.125760913721974
2023-02-03,-0.118146169652123
2023-02-06,-0.124918163445893
2023-02-07,-0.10315907259135
2023-02-08,-0.112277055802679
2023-02-09,-0.0792614519573104
2023-02-10,-0.0883224951269914
2023-02-13,-0.128203891948335
2023-02-14,-0.236889531796752
2023-02-15,-0.170304420999274
2023-02-16,-0.173392900197388
2023-02-17,-0.173632909892931
2023-02-22,-0.175347734637831
2023-02-23,-0.207470092547118
2023-02-24,-0.201869516808606
2023-02-27,-0.198794831274795
2023-02-28,-0.213689471168003
2023-03-01,-0.208796643459022
2023-03-02,-0.219507328868899
2023-03-03,-0.193592150785232
2023-03-06,-0.1976196626618
2023-03-07,-0.18880595347583
2023-03-08,-0.187486738541026
2023-03-09,-0.183707663046802
2023-03-10,-0.19731463018386
2023-03-13,-0.193063077288319
2023-03-14,-0.205768984584642
2023-03-15,-0.224900769176122
2023-03-16,-0.21349001096868
2023-03-17,-0.236814948926716
2023-03-20,-0.135435317917649
2023-03-21,-0.193475304520322
2023-03-22,-0.150478439418906
2023-03-23,-0.149449218717212
2023-03-24,-0.135727245153921
2023-03-27,-0.126894087615483
2023-03-28,-0.149990779255507
2023-03-29,-0.169119780345874
2023-03-30,-0.144459841901359
2023-04-03,-0.17766958583285
2023-04-04,-0.186004289024753
2023-04-05,-0.182614358236015
2023-04-06,-0.170365359361232
2023-04-10,-0.185092488456886
2023-04-11,-0.183601932985577
2023-04-12,-0.265354405248394
2023-04-13,-0.26651336332751
2023-04-17,-0.254673782041537
2023-04-18,-0.244129629446567
2023-04-19,-0.25041947390786
2023-04-20,-0.254633833254759
2023-04-24,-0.256296979057436
2023-04-25,-0.248425540725076
2023-04-26,-0.248679670202847
2023-04-27,-0.232141224066591
2023-05-02,-0.223731314128956
2023-05-03,-0.193587363669435
2023-05-04,-0.217350969097319
2023-05-08,-0.209259194141063
2023-05-09,-0.166883512079562
2023-05-10,-0.176583749926197
2023-05-11,-0.190485516206698
2023-05-15,-0.107133093918458
2023-05-16,-0.12522321531411
2023-05-17,-0.168614210770877
2023-05-18,-0.16865082763438
2023-05-22,-0.149241399386577
2023-05-23,-0.153109485048418
2023-05-24,-0.158125338946024
2023-05-25,-0.163178012999637
2023-05-29,-0.0529443858115477
2023-05-30,-0.0692160099107693
2023-05-31,-0.0876499323271413
2023-06-01,-0.110286460084563
2023-06-05,-0.151093095820764
2023-06-06,-0.146764613879201
2023-06-07,-0.158162473564883
2023-06-12,-0.159871135907011
2023-06-13,-0.171970963866925
2023-06-14,-0.172607425217017
2023-06-15,-0.260553925234846
2023-06-19,-0.249090382537056
2023-06-20,-0.261982855852552
2023-06-21,-0.239467926704976
2023-06-22,-0.197826289244893
2023-06-26,-0.193258194702814
2023-06-27,-0.184106843133783
2023-06-28,-0.187955260020411
2023-06-29,-0.18013879231648
2023-07-03,-0.176639745827735
2023-07-04,-0.230717014723872
2023-07-05,-0.205128678443782
2023-07-06,-0.204376784486249
2023-07-10,-0.207055653379548
2023-07-11,-0.179522645955788
2023-07-12,-0.171565654648797
2023-07-13,-0.156222279731535
2023-07-17,-0.158636947441501
2023-07-18,-0.166652344670378
2023-07-19,-0.170174296129061
2023-07-20,-0.182754812105257
2023-07-24,-0.186623554323325
2023-07-25,-0.269890399306908
2023-07-26,-0.256924212555273
2023-07-27,-0.246540108799898
2023-07-31,-0.235049305138357
2023-08-01,-0.220001725375432
2023-08-02,-0.205693851628684
2023-08-03,-0.206545192307081
2023-08-07,-0.165126163062441
2023-08-08,-0.175266742133482
2023-08-09,-0.176172739294217
2023-08-10,-0.177496483868309
2023-08-14,-0.172783895735981
2023-08-15,-0.250103335707581
2023-08-16,-0.238351481813019
2023-08-17,-0.229341631298659
2023-08-21,-0.224319541538012
2023-08-22,-0.215564094345087
2023-08-23,-0.236970079899592
2023-08-24,-0.33985773586617
2023-08-28,-0.321163249615743
2023-08-29,-0.279929917217767
2023-08-30,-0.277315457490955
2023-08-31,-0.274927416705003
2023-09-04,-0.299294192263134
2023-09-05,-0.263473213606884
2023-09-06,-0.245799019044141
2023-09-11,-0.238476445862013
2023-09-12,-0.241814500325111
2023-09-13,-0.240563826287989
2023-09-14,-0.220362650291451
2023-09-18,-0.229820154695837
2023-09-19,-0.194127883712525
2023-09-20,-0.189423544635008
2023-09-21,-0.182582197560418
2023-09-25,-0.204737831604129
2023-09-26,-0.213767122247648
2023-09-27,-0.218978659452777
2023-09-28,-0.191465028483618
2023-10-02,-0.194792165717881
2023-10-03,-0.227749937958954
2023-10-04,-0.215598594352914
2023-10-05,-0.212936532832261
2023-10-09,-0.206875141499266
2023-10-10,-0.223327408055296
2023-10-11,-0.2494392490003
2023-10-16,-0.237913541471387
2023-10-17,-0.217841896521495
2023-10-18,-0.209809478223802
2023-10-19,-0.210313415156114
2023-10-23,-0.208498565106662
2023-10-24,-0.260313236927885
2023-10-25,-0.250584134457087
2023-10-26,-0.239331586012107
2023-10-30,-0.233000115804531
2023-10-31,-0.183194024016645
2023-11-01,-0.0977498204515622
2023-11-03,-0.113282311408288
2023-11-06,-0.233257662857701
2023-11-07,-0.192433387797388
2023-11-08,-0.186264463275286
2023-11-09,-0.18225089814194
2023-11-10,-0.183240164604354
2023-11-13,-0.190210780490124
2023-11-14,-0.170748251826751
2023-11-16,-0.177247882032698
2023-11-17,-0.205603794916381
2023-11-20,-0.201323923936664
2023-11-21,-0.184960706837523
2023-11-22,-0.187338475805329
2023-11-23,-0.189004305399388
2023-11-24,-0.190268288763111
2023-11-27,-0.189365850643532
2023-11-28,-0.188375489332363
2023-11-29,-0.189361142626016
2023-11-30,-0.224553759885518
2023-12-01,-0.19548454111591
2023-12-04,-0.197898970339947
2023-12-05,-0.206367160719213
2023-12-06,-0.206174192399109
2023-12-07,-0.169616445487281
2023-12-08,-0.152574590507662
2023-12-11,-0.168824162405908
2023-12-12,-0.176341952078566
2023-12-13,-0.0820416866691262
2023-12-14,-0.0963395310701471
2023-12-15,-0.209845599029858
2023-12-18,-0.198020443710079
2023-12-19,-0.194256869960893
2023-12-20,-0.205808928031001
2023-12-21,-0.188116408530665
2023-12-22,-0.191019443105598
2023-12-26,-0.207792684495188
2023-12-27,-0.204867393168679
2023-12-28,-0.199140845036423
